127.0.0.1 - - [13/Mar/2023:19:12:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:12:32 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:14:08 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:16:12 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:18:07 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:22:41 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:23:02 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:23:13 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:29:46 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:30:10 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:30:38 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:32:16 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:33:20 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:33:58 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:34:17 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:36:42 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:37:03 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:16 +0900] "GET /day04/img.html HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:16 +0900] "GET /day04/baby.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:31 +0900] "GET /day04/img.html HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:31 +0900] "GET /day04/baby.png.png HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:54 +0900] "GET /day04/img.html HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:54 +0900] "GET /day04/baby.png.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:50:55 +0900] "GET /day04/img.html HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:50:55 +0900] "GET /day04/baby.png.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:50:55 +0900] "GET /day04/childhood.png.png HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:30 +0900] "GET /day04/img.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:30 +0900] "GET /day04/baby.png.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:30 +0900] "GET /day04/childhood.png.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:30 +0900] "GET /day04/adult.png.png HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:04:39 +0900] "GET /day04/img.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:04:39 +0900] "GET /day04/marry.png.png HTTP/1.1" 200 1845
